20260418_072743_UTC CT758
20260418_072747_UTC CT760
20260418_072754_UTC CT464
20260418_072800_UTC CT380
20260418_072803_UTC C
20260418_072809_UTC CT354
20260418_072812_UTC C
20260418_072813_UTC CT565
20260418_072817_UTC CT211
20260418_072819_UTC C
20260418_072820_UTC C
20260418_072822_UTC CT161
20260418_072823_UTC C
20260418_072825_UTC C
20260418_072826_UTC C
20260418_072828_UTC CT145
20260418_072830_UTC C
20260418_072831_UTC C
20260418_072833_UTC CT136
20260418_072834_UTC CT127
20260418_072836_UTC C
20260418_072837_UTC C
20260418_072839_UTC C
20260418_072840_UTC CT108
20260418_072842_UTC CT89
