20260418_065502_UTC CT758
20260418_065506_UTC CT760
20260418_065513_UTC CT464
20260418_065520_UTC CT380
20260418_065523_UTC C
20260418_065528_UTC CT354
20260418_065531_UTC C
20260418_065533_UTC CT565
20260418_065536_UTC CT211
20260418_065538_UTC C
20260418_065540_UTC C
20260418_065541_UTC CT161
20260418_065543_UTC C
20260418_065544_UTC C
20260418_065546_UTC C
20260418_065547_UTC CT145
20260418_065549_UTC C
20260418_065550_UTC C
20260418_065552_UTC CT136
20260418_065554_UTC CT127
20260418_065555_UTC C
20260418_065557_UTC C
20260418_065558_UTC C
20260418_065600_UTC CT108
20260418_065601_UTC C
