20260418_043856_UTC CT1153
20260418_043900_UTC CT1155
20260418_043908_UTC CT525
20260418_043914_UTC CT432
20260418_043917_UTC C
20260418_043922_UTC CT370
20260418_043925_UTC C
20260418_043927_UTC CT581
20260418_043931_UTC CT227
20260418_043932_UTC C
20260418_043934_UTC C
20260418_043935_UTC CT177
20260418_043937_UTC C
20260418_043939_UTC C
20260418_043940_UTC C
20260418_043942_UTC CT161
20260418_043943_UTC C
20260418_043945_UTC C
20260418_043946_UTC CT152
20260418_043948_UTC CT143
20260418_043949_UTC C
20260418_043951_UTC C
20260418_043953_UTC C
20260418_043954_UTC CT124
20260418_043956_UTC CT105
