20260417_052855_UTC CT922
20260417_052858_UTC CT924
20260417_052902_UTC CT274
20260417_052906_UTC C
20260417_052908_UTC CT213
20260417_052910_UTC C
20260417_052912_UTC CT334
20260417_052915_UTC C
20260417_052916_UTC C
20260417_052918_UTC C
20260417_052920_UTC C
20260417_052922_UTC C
20260417_052933_UTC C
20260417_052934_UTC C
20260417_052936_UTC C
20260417_052938_UTC CT203
20260417_052940_UTC C
20260417_052942_UTC CT194
20260417_052944_UTC CT186
20260417_052946_UTC C
20260417_052948_UTC C
20260417_052950_UTC CT177
20260417_052952_UTC C
20260417_052954_UTC C
20260417_052956_UTC C
20260417_052957_UTC C
20260417_052959_UTC C
