20260417_052904_UTC CT922
20260417_052907_UTC CT924
20260417_052911_UTC CT274
20260417_052915_UTC C
20260417_052917_UTC CT213
20260417_052919_UTC C
20260417_052921_UTC CT334
20260417_052923_UTC C
20260417_052925_UTC C
20260417_052927_UTC C
20260417_052928_UTC C
20260417_052930_UTC C
20260417_052941_UTC C
20260417_052943_UTC C
20260417_052945_UTC C
20260417_052947_UTC CT203
20260417_052949_UTC C
20260417_052951_UTC CT194
20260417_052953_UTC CT186
20260417_052955_UTC C
20260417_052957_UTC C
20260417_052958_UTC CT177
20260417_053001_UTC C
20260417_053002_UTC C
20260417_053004_UTC C
20260417_053006_UTC C
20260417_053008_UTC C
