20260418_002852_UTC CT667
20260418_002854_UTC CT669
20260418_002858_UTC CT484
20260418_002901_UTC CT520
20260418_002905_UTC CT265
20260418_002906_UTC C
20260418_002908_UTC CT362
20260418_002910_UTC CT230
20260418_002911_UTC C
20260418_002913_UTC C
20260418_002915_UTC C
20260418_002916_UTC CT221
20260418_002918_UTC C
20260418_002919_UTC C
20260418_002921_UTC CT140
20260418_002922_UTC C
20260418_002924_UTC CT243
20260418_002925_UTC C
20260418_002927_UTC C
20260418_002928_UTC CT92
20260418_002930_UTC C
20260418_002932_UTC C
