20260417_143808_UTC CT1488
20260417_143812_UTC 
20260417_143816_UTC C
20260417_143820_UTC CT1318
20260417_143825_UTC C
20260417_143827_UTC CT1254
20260417_143832_UTC C
20260417_143834_UTC CT1161
20260417_143840_UTC C
20260417_143841_UTC C
20260417_143846_UTC CT1015
20260417_143851_UTC C
20260417_143853_UTC CT953
20260417_143856_UTC CT980
20260417_143859_UTC CT927
20260417_143902_UTC C
20260417_143903_UTC CT1300
20260417_143906_UTC C
20260417_143908_UTC C
20260417_143910_UTC C
20260417_143912_UTC C
20260417_143914_UTC C
20260417_143916_UTC C
20260417_143918_UTC C
20260417_143919_UTC C
20260417_143921_UTC C
20260417_143923_UTC CT686
20260417_143925_UTC C
20260417_143927_UTC CT614
20260417_143930_UTC C
20260417_143931_UTC CT547
20260417_143933_UTC C
20260417_143935_UTC C
20260417_143937_UTC C
20260417_143938_UTC C
20260417_143940_UTC C
20260417_143941_UTC C
20260417_143943_UTC C
20260417_143945_UTC C
20260417_143946_UTC C
20260417_143948_UTC C
20260417_143949_UTC C
20260417_143951_UTC C
20260417_143953_UTC CT516
20260417_143955_UTC CT495
20260417_143956_UTC C
20260417_143958_UTC C
20260417_144000_UTC C
20260417_144001_UTC CT480
20260417_144003_UTC C
20260417_144004_UTC CT465
20260417_144006_UTC C
20260417_144008_UTC CT459
20260417_144010_UTC CT453
20260417_144012_UTC CT436
20260417_144014_UTC C
20260417_144015_UTC C
20260417_144017_UTC CT428
20260417_144019_UTC CT413
20260417_144020_UTC C
20260417_144022_UTC C
20260417_144024_UTC C
20260417_144025_UTC C
20260417_144027_UTC C
20260417_144028_UTC C
20260417_144030_UTC C
20260417_144031_UTC C
20260417_144033_UTC C
20260417_144034_UTC CT169
